Year,Month,Date,Hour,Min,Sec,PRN,Elevation,Azimuth,SNR,Label
,,,,,,,,,,
2023,6,2,0,34,56,    GPS/  8,14.09,177.32,40.22,LOS
2023,6,2,0,34,58,    GPS/  8,14.1,177.31,40.51,LOS
2023,6,2,0,35,0,    GPS/  8,14.1,177.3,40.84,LOS
2023,6,2,0,35,2,    GPS/  8,14.11,177.29,41.04,LOS
2023,6,2,0,35,4,    GPS/  8,14.12,177.28,41.28,LOS
2023,6,2,0,35,6,    GPS/  8,14.13,177.26,40.8,LOS
2023,6,2,0,35,8,    GPS/  8,14.14,177.25,39.94,LOS
2023,6,2,0,35,10,    GPS/  8,14.14,177.24,39.03,LOS
2023,6,2,0,35,12,    GPS/  8,14.15,177.23,39.02,LOS
2023,6,2,0,35,14,    GPS/  8,14.16,177.22,39.41,LOS
2023,6,2,0,35,16,    GPS/  8,14.17,177.21,39.35,LOS
2023,6,2,0,35,18,    GPS/  8,14.18,177.2,39.5,LOS
2023,6,2,0,35,20,    GPS/  8,14.18,177.19,39.66,LOS
2023,6,2,0,35,22,    GPS/  8,14.19,177.18,39.5,LOS
2023,6,2,0,35,24,    GPS/  8,14.2,177.17,39.56,LOS
2023,6,2,0,35,26,    GPS/  8,14.21,177.15,39.71,LOS
2023,6,2,0,35,28,    GPS/  8,14.22,177.14,39.79,LOS
2023,6,2,0,35,30,    GPS/  8,14.22,177.13,39.72,LOS
2023,6,2,0,35,32,    GPS/  8,14.23,177.12,39.82,LOS
2023,6,2,0,35,34,    GPS/  8,14.24,177.11,39.54,LOS
2023,6,2,0,35,36,    GPS/  8,14.25,177.1,39.29,LOS
2023,6,2,0,35,38,    GPS/  8,14.26,177.09,38.95,LOS
2023,6,2,0,35,40,    GPS/  8,14.26,177.08,38.99,LOS
2023,6,2,0,35,42,    GPS/  8,14.27,177.07,39.21,LOS
2023,6,2,0,35,44,    GPS/  8,14.28,177.06,39.23,LOS
2023,6,2,0,35,46,    GPS/  8,14.29,177.05,39.61,LOS
2023,6,2,0,35,48,    GPS/  8,14.3,177.03,39.75,LOS
2023,6,2,0,35,50,    GPS/  8,14.3,177.02,40.07,LOS
2023,6,2,0,35,52,    GPS/  8,14.31,177.01,40.5,LOS
2023,6,2,0,35,54,    GPS/  8,14.32,177,40.4,LOS
2023,6,2,0,35,56,    GPS/  8,14.33,176.99,40.7,LOS
2023,6,2,0,35,58,    GPS/  8,14.34,176.98,41.2,LOS
2023,6,2,0,36,0,    GPS/  8,14.34,176.97,41.38,LOS
2023,6,2,0,36,2,    GPS/  8,14.35,176.96,41.49,LOS
2023,6,2,0,36,4,    GPS/  8,14.36,176.95,41.86,LOS
2023,6,2,0,36,6,    GPS/  8,14.37,176.94,42.06,LOS
2023,6,2,0,36,8,    GPS/  8,14.38,176.93,41.79,LOS
2023,6,2,0,36,10,    GPS/  8,14.38,176.91,41.24,LOS
2023,6,2,0,36,12,    GPS/  8,14.39,176.9,40.69,LOS
2023,6,2,0,36,14,    GPS/  8,14.4,176.89,40.2,LOS
2023,6,2,0,36,16,    GPS/  8,14.41,176.88,40.21,LOS
2023,6,2,0,36,18,    GPS/  8,14.42,176.87,39.9,LOS
2023,6,2,0,36,20,    GPS/  8,14.42,176.86,40.17,LOS
2023,6,2,0,36,22,    GPS/  8,14.43,176.85,40.18,LOS
2023,6,2,0,36,24,    GPS/  8,14.44,176.84,40.37,LOS
2023,6,2,0,36,26,    GPS/  8,14.45,176.83,40.85,LOS
2023,6,2,0,36,28,    GPS/  8,14.46,176.82,40.93,LOS
2023,6,2,0,36,30,    GPS/  8,14.46,176.81,40.94,LOS
2023,6,2,0,36,32,    GPS/  8,14.47,176.79,41.2,LOS
2023,6,2,0,36,34,    GPS/  8,14.48,176.78,41.13,LOS
2023,6,2,0,36,36,    GPS/  8,14.49,176.77,40.79,LOS
2023,6,2,0,36,38,    GPS/  8,14.5,176.76,40.46,LOS
2023,6,2,0,36,40,    GPS/  8,14.5,176.75,41.06,LOS
2023,6,2,0,36,42,    GPS/  8,14.51,176.74,41.67,LOS
2023,6,2,0,36,44,    GPS/  8,14.52,176.73,41.7,LOS
2023,6,2,0,36,46,    GPS/  8,14.53,176.72,41.96,LOS
2023,6,2,0,36,48,    GPS/  8,14.54,176.71,41.86,LOS
2023,6,2,0,36,50,    GPS/  8,14.55,176.7,41.63,LOS
2023,6,2,0,36,52,    GPS/  8,14.55,176.68,41.29,LOS
2023,6,2,0,36,54,    GPS/  8,14.56,176.67,40.12,LOS
2023,6,2,0,36,56,    GPS/  8,14.57,176.66,39.42,LOS
2023,6,2,0,36,58,    GPS/  8,14.58,176.65,39.62,LOS
2023,6,2,0,37,0,    GPS/  8,14.59,176.64,39.98,LOS
2023,6,2,0,37,2,    GPS/  8,14.59,176.63,39.37,LOS
2023,6,2,0,37,4,    GPS/  8,14.6,176.62,39.08,LOS
2023,6,2,0,37,6,    GPS/  8,14.61,176.61,39.03,LOS
2023,6,2,0,37,8,    GPS/  8,14.62,176.6,38.83,LOS
2023,6,2,0,37,10,    GPS/  8,14.63,176.59,38.18,LOS
2023,6,2,0,37,12,    GPS/  8,14.63,176.58,38.23,LOS
2023,6,2,0,37,14,    GPS/  8,14.64,176.56,38.51,LOS
2023,6,2,0,37,16,    GPS/  8,14.65,176.55,39.16,LOS
2023,6,2,0,37,18,    GPS/  8,14.66,176.54,39.81,LOS
2023,6,2,0,37,20,    GPS/  8,14.67,176.53,40,LOS
2023,6,2,0,37,22,    GPS/  8,14.67,176.52,39.91,LOS
2023,6,2,0,37,24,    GPS/  8,14.68,176.51,39.56,LOS
2023,6,2,0,37,26,    GPS/  8,14.69,176.5,38.87,LOS
2023,6,2,0,37,28,    GPS/  8,14.7,176.49,38.78,LOS
2023,6,2,0,37,30,    GPS/  8,14.71,176.48,39.63,LOS
2023,6,2,0,37,32,    GPS/  8,14.72,176.47,39.59,LOS
2023,6,2,0,37,34,    GPS/  8,14.72,176.46,39.45,LOS
2023,6,2,0,37,36,    GPS/  8,14.73,176.44,39.61,LOS
2023,6,2,0,37,38,    GPS/  8,14.74,176.43,39.52,LOS
2023,6,2,0,37,40,    GPS/  8,14.75,176.42,39.68,LOS
2023,6,2,0,37,42,    GPS/  8,14.76,176.41,40.08,LOS
2023,6,2,0,37,44,    GPS/  8,14.76,176.4,39.98,LOS
2023,6,2,0,37,46,    GPS/  8,14.77,176.39,39.56,LOS
2023,6,2,0,37,48,    GPS/  8,14.78,176.38,39.54,LOS
2023,6,2,0,37,50,    GPS/  8,14.79,176.37,39.91,LOS
2023,6,2,0,37,52,    GPS/  8,14.8,176.36,39.83,LOS
2023,6,2,0,37,54,    GPS/  8,14.8,176.35,39.91,LOS
2023,6,2,0,37,56,    GPS/  8,14.81,176.34,40.1,LOS
2023,6,2,0,37,58,    GPS/  8,14.82,176.32,40.41,LOS
2023,6,2,0,38,0,    GPS/  8,14.83,176.31,40.99,LOS
2023,6,2,0,38,2,    GPS/  8,14.84,176.3,40.84,LOS
2023,6,2,0,38,4,    GPS/  8,14.85,176.29,41.14,LOS
2023,6,2,0,38,6,    GPS/  8,14.85,176.28,41.04,LOS
2023,6,2,0,38,8,    GPS/  8,14.86,176.27,40.59,LOS
2023,6,2,0,38,10,    GPS/  8,14.87,176.26,40.3,LOS
2023,6,2,0,38,12,    GPS/  8,14.88,176.25,39.95,LOS
2023,6,2,0,38,14,    GPS/  8,14.89,176.24,39.91,LOS
2023,6,2,0,38,16,    GPS/  8,14.89,176.23,40.31,LOS
2023,6,2,0,38,18,    GPS/  8,14.9,176.22,41.08,LOS
2023,6,2,0,38,20,    GPS/  8,14.91,176.2,41.75,LOS
2023,6,2,0,38,22,    GPS/  8,14.92,176.19,41.78,LOS
2023,6,2,0,38,24,    GPS/  8,14.93,176.18,40.94,LOS
2023,6,2,0,38,26,    GPS/  8,14.93,176.17,39.65,LOS
2023,6,2,0,38,28,    GPS/  8,14.94,176.16,38,LOS
2023,6,2,0,38,30,    GPS/  8,14.95,176.15,38.13,LOS
2023,6,2,0,38,32,    GPS/  8,14.96,176.14,38.83,LOS
2023,6,2,0,38,34,    GPS/  8,14.97,176.13,38.96,LOS
2023,6,2,0,38,36,    GPS/  8,14.98,176.12,38.71,LOS
2023,6,2,0,38,38,    GPS/  8,14.98,176.11,38.46,LOS
2023,6,2,0,38,40,    GPS/  8,14.99,176.09,37.87,LOS
2023,6,2,0,38,42,    GPS/  8,15,176.08,37.57,LOS
2023,6,2,0,38,44,    GPS/  8,15.01,176.07,37.73,LOS
2023,6,2,0,38,46,    GPS/  8,15.02,176.06,37.49,LOS
2023,6,2,0,38,48,    GPS/  8,15.02,176.05,37.63,LOS
2023,6,2,0,38,50,    GPS/  8,15.03,176.04,37.66,LOS
2023,6,2,0,38,52,    GPS/  8,15.04,176.03,36.74,LOS
2023,6,2,0,38,54,    GPS/  8,15.05,176.02,36.46,LOS
2023,6,2,0,38,56,    GPS/  8,15.06,176.01,36.69,LOS
2023,6,2,0,38,58,    GPS/  8,15.07,176,37.57,LOS
