Year,Month,Date,Hour,Min,Sec,PRN,Elevation,Azimuth,SNR,Label
2023,6,1,23,52,0,    GPS/  3,40.53,325.34,48.42,NLOS
2023,6,1,23,52,2,    GPS/  3,40.54,325.34,48.34,NLOS
2023,6,1,23,52,4,    GPS/  3,40.56,325.33,48.49,NLOS
2023,6,1,23,52,6,    GPS/  3,40.57,325.32,48.78,NLOS
2023,6,1,23,52,8,    GPS/  3,40.58,325.32,48.84,NLOS
2023,6,1,23,52,10,    GPS/  3,40.6,325.31,48.96,NLOS
2023,6,1,23,52,12,    GPS/  3,40.61,325.3,49.67,NLOS
2023,6,1,23,52,14,    GPS/  3,40.63,325.3,49.79,NLOS
2023,6,1,23,52,16,    GPS/  3,40.64,325.29,49.56,NLOS
2023,6,1,23,52,18,    GPS/  3,40.66,325.29,49.28,NLOS
2023,6,1,23,52,20,    GPS/  3,40.67,325.28,48.79,NLOS
2023,6,1,23,52,22,    GPS/  3,40.69,325.27,48.46,NLOS
2023,6,1,23,52,24,    GPS/  3,40.7,325.27,48.83,NLOS
2023,6,1,23,52,26,    GPS/  3,40.71,325.26,49.21,NLOS
2023,6,1,23,52,28,    GPS/  3,40.73,325.26,48.87,NLOS
2023,6,1,23,52,30,    GPS/  3,40.74,325.25,49.04,NLOS
2023,6,1,23,52,32,    GPS/  3,40.76,325.24,49.38,NLOS
2023,6,1,23,52,34,    GPS/  3,40.77,325.24,49.66,NLOS
2023,6,1,23,52,36,    GPS/  3,40.79,325.23,49.59,NLOS
2023,6,1,23,52,38,    GPS/  3,40.8,325.22,49.26,NLOS
2023,6,1,23,52,40,    GPS/  3,40.82,325.22,48.92,NLOS
2023,6,1,23,52,42,    GPS/  3,40.83,325.21,48.98,NLOS
2023,6,1,23,52,44,    GPS/  3,40.84,325.21,48.76,NLOS
2023,6,1,23,52,46,    GPS/  3,40.86,325.2,49.14,NLOS
2023,6,1,23,52,48,    GPS/  3,40.87,325.19,49.6,NLOS
2023,6,1,23,52,50,    GPS/  3,40.89,325.19,49.61,NLOS
2023,6,1,23,52,52,    GPS/  3,40.9,325.18,49.76,NLOS
2023,6,1,23,52,54,    GPS/  3,40.92,325.17,50.35,NLOS
2023,6,1,23,52,56,    GPS/  3,40.93,325.17,50.2,NLOS
2023,6,1,23,52,58,    GPS/  3,40.95,325.16,49.37,NLOS
2023,6,1,23,53,0,    GPS/  3,40.96,325.16,48.45,NLOS
2023,6,1,23,53,2,    GPS/  3,40.97,325.15,48.02,NLOS
2023,6,1,23,53,4,    GPS/  3,40.99,325.14,48.21,NLOS
2023,6,1,23,53,6,    GPS/  3,41,325.14,48.53,NLOS
2023,6,1,23,53,8,    GPS/  3,41.02,325.13,48.83,NLOS
2023,6,1,23,53,10,    GPS/  3,41.03,325.12,48.84,NLOS
2023,6,1,23,53,12,    GPS/  3,41.05,325.12,49.11,NLOS
2023,6,1,23,53,14,    GPS/  3,41.06,325.11,49.12,NLOS
2023,6,1,23,53,16,    GPS/  3,41.08,325.1,48.91,NLOS
2023,6,1,23,53,18,    GPS/  3,41.09,325.1,48.75,NLOS
2023,6,1,23,53,20,    GPS/  3,41.1,325.09,48.42,NLOS
2023,6,1,23,53,22,    GPS/  3,41.12,325.09,48.5,NLOS
2023,6,1,23,53,24,    GPS/  3,41.13,325.08,48.51,NLOS
2023,6,1,23,53,26,    GPS/  3,41.15,325.07,48.7,NLOS
2023,6,1,23,53,28,    GPS/  3,41.16,325.07,48.62,NLOS
2023,6,1,23,53,30,    GPS/  3,41.18,325.06,49.19,NLOS
2023,6,1,23,53,32,    GPS/  3,41.19,325.05,49.4,NLOS
2023,6,1,23,53,34,    GPS/  3,41.21,325.05,49.07,NLOS
2023,6,1,23,53,36,    GPS/  3,41.22,325.04,49.22,NLOS
2023,6,1,23,53,38,    GPS/  3,41.24,325.03,49.6,NLOS
